Country,2005 Sales,2006 Sales,2007 Sales,2008 Sales,2009 Sales,2010 Sales,2011 Sales,2012 Sales,2013 Sales,2014 Sales,2015 Sales,2016 Sales,2017 Sales,2018 Sales,2019 Sales,2020 Sales,2021 Sales,2022 Sales,Total Sales,Average Sales
Lithuania,16602.0,25582.0,32771.0,19831.0,5367.0,6365.0,10980.0,12165.0,12163.0,14503.0,17085.0,20320.0,25836.0,32382.0,43109.0,0.0,0.0,0.0,295061.0,16392.277777777777
Luxembourg,48517.0,50837.0,51332.0,52359.0,47265.0,49726.0,49881.0,50398.0,46624.0,49793.0,46473.0,50561.0,52775.0,52786.0,54938.0,0.0,0.0,0.0,754265.0,41903.61111111111
Madagascar,930.0,1100.0,1100.0,1000.0,900.0,900.0,1100.0,1200.0,1200.0,1600.0,1200.0,800.0,1199.0,1138.0,1043.0,0.0,0.0,0.0,16410.0,911.6666666666666
Malawi,930.0,1100.0,1100.0,1000.0,1000.0,1500.0,1500.0,1000.0,1000.0,1100.0,1200.0,1500.0,569.0,724.0,598.0,0.0,0.0,0.0,15821.0,878.9444444444445
Malta,6552.0,6745.0,6240.0,5423.0,5894.0,4056.0,5428.0,5884.0,5749.0,6451.0,7121.0,7333.0,7825.0,8128.0,7621.0,0.0,0.0,0.0,96450.0,5358.333333333333
Mauritius,2900.0,3500.0,4000.0,4000.0,3000.0,4000.0,3000.0,7000.0,7500.0,8600.0,8000.0,8700.0,8753.0,8288.0,7722.0,0.0,0.0,0.0,88963.0,4942.388888888889
Moldova,4000.0,5000.0,7000.0,11000.0,4000.0,5000.0,5500.0,5000.0,5000.0,5600.0,3700.0,4300.0,5260.0,5960.0,6406.0,0.0,0.0,0.0,82726.0,4595.888888888889
Mongolia,500.0,500.0,1000.0,3000.0,3000.0,3000.0,3000.0,2000.0,1500.0,1100.0,700.0,1300.0,5260.0,5960.0,2970.0,0.0,0.0,0.0,34790.0,1932.7777777777778
N. Caledonia,7397.0,7251.0,7717.0,7853.0,7246.0,7354.0,7525.0,7250.0,6272.0,6469.0,6068.0,5662.0,5921.0,5571.0,5818.0,0.0,0.0,0.0,101374.0,5631.888888888889
Nepal,1000.0,1000.0,2000.0,1500.0,2000.0,1000.0,3000.0,3600.0,3500.0,5300.0,4000.0,6400.0,7445.0,6759.0,7505.0,0.0,0.0,0.0,56009.0,3111.6111111111113
Nicaragua,3000.0,6000.0,6000.0,6000.0,4000.0,3000.0,3000.0,3000.0,4000.0,5200.0,4800.0,5400.0,7699.0,9567.0,1296.0,0.0,0.0,0.0,71962.0,3997.8888888888887
Nigeria,16000.0,22000.0,7000.0,7000.0,34000.0,25000.0,30000.0,40000.0,40000.0,42000.0,15600.0,19200.0,4700.0,8550.0,5100.0,0.0,0.0,0.0,316150.0,17563.88888888889
North Macedonia,9300.0,10000.0,10200.0,10500.0,6000.0,8500.0,8500.0,5000.0,2000.0,2700.0,3200.0,3800.0,3273.0,3885.0,4060.0,0.0,0.0,0.0,90918.0,5051.0
Oman,147500.0,144700.0,146300.0,145000.0,105000.0,115000.0,115000.0,130000.0,140000.0,138600.0,121100.0,115700.0,63789.0,49777.0,49924.0,0.0,0.0,0.0,1727390.0,95966.11111111111
